# git-archive index, _R1, Runway (TP). One line per retired ref: repo | scope | ref | full sha | verdict | action | file
_R1 | loose commit, TP checkout | (dangling) | 0d62f460aa2eab6ed2a28d40e088badb0295af37 | ALREADY-IN-MAIN, pre-squash or pre-rebase copy | patched then gc --prune=now 2026-09-11/12 | 0d62f46.patch  # fix(runway): worktree-clean disposes fossils by content, not
_R1 | loose commit, TP checkout | (dangling) | 0e4b47582519d216af477a6143afdccb1de621eb | ALREADY-IN-MAIN, pre-squash or pre-rebase copy | patched then gc --prune=now 2026-09-11/12 | 0e4b475.patch  # fix(runway): make control 12's env-isolation control
_R1 | loose commit, TP checkout | (dangling) | 0ec3b2bd85fae19897cc91d9fb7e95506823c287 | NO-VALUE, superseded docs draft | patched then gc --prune=now 2026-09-11/12 | 0ec3b2b.patch  # docs(runway): L1 and L2 observed, with both limits recorded
_R1 | loose commit, TP checkout | (dangling) | 13545d416ab1a6eb466331bcd95341897b9c1faa | ALREADY-IN-MAIN, pre-squash or pre-rebase copy | patched then gc --prune=now 2026-09-11/12 | 13545d4.patch  # fix(runway): hygiene-guard config reads hygiene.remote and
_R1 | loose commit, TP checkout | (dangling) | 1a13aee9c5fd92a3315e6db5bd8c1870ac5e7bac | ALREADY-IN-MAIN, pre-squash or pre-rebase copy | patched then gc --prune=now 2026-09-11/12 | 1a13aee.patch  # fix(runway): auto-promote test derives expected date from
_R1 | loose commit, TP checkout | (dangling) | 2295274ce179f9c5fd1432b1f0385e239bc0535b | ALREADY-IN-MAIN, pre-squash or pre-rebase copy | patched then gc --prune=now 2026-09-11/12 | 2295274.patch  # docs(plans): git SOP gate coverage plan, three options per
_R1 | loose commit, TP checkout | (dangling) | 2af6c7e0d629cdcf5b957f21c6cb803a24002acc | ALREADY-IN-MAIN, pre-squash or pre-rebase copy | patched then gc --prune=now 2026-09-11/12 | 2af6c7e.patch  # chore(hooks): ship the empty hold list the guard requires,
_R1 | loose commit, TP checkout | (dangling) | 2c21cfb3cab4742d9f9d328feb3e796137be14be | NO-VALUE, superseded docs draft | patched then gc --prune=now 2026-09-11/12 | 2c21cfb.patch  # docs(runway): bots open every reply with the seat handle,
_R1 | loose commit, TP checkout | (dangling) | 5777576c6c4977c2283b1359b97884171dd223b8 | ALREADY-IN-MAIN, pre-squash or pre-rebase copy | patched then gc --prune=now 2026-09-11/12 | 5777576.patch  # docs(runway): refresh the plan of record after four merges,
_R1 | loose commit, TP checkout | (dangling) | 4a92101b71e2b0aca4beaa9f64c041598c269b89 | NO-VALUE, certifier probe or stash | patched then gc --prune=now 2026-09-11/12 | 75505c8.patch  # index on runway-cc/empty-listing-canary: 76aa3b5 fix(runway):
_R1 | loose commit, TP checkout | (dangling) | 9963d7d736b20a0676b51332934d43131a68260a | NO-VALUE, certifier probe or stash | patched then gc --prune=now 2026-09-11/12 | 9963d7d.patch  # opeff#996 git-hygiene-certify: clause 2 throwaway probe,
